record_id,pdf_page_start,pdf_page_end,row_type,section,chapter,text
11,3,3,paragraph,Genesis,2,"(2 Peter 1:4). Partakers of God's Nature.--The Lord created man out of the dust of the earth. He made Adam a partaker of His life, His nature. There was breathed into him the breath of the Almighty, and he became a living soul. Adam was perfect in form--strong, comely, pure, bearing the image of his Maker (MS 102, 1903). {1BC 1081.7}"
12,3,3,paragraph,Genesis,2,Physical Power Long Preserved.--Man came from the hand of his Creator perfect in organization and beautiful in form. The fact that he has for six thousand years withstood the ever-increasing weight of disease and crime is conclusive proof of the power of endurance with which he was first endowed (CTBH 7). {1BC 1082.1}
13,3,3,paragraph,Genesis,2,"8. Adam Crowned King in Eden.--Adam was crowned king in Eden. To him was given dominion over every living thing that God had created. The Lord blessed Adam and Eve with intelligence such as He had not given to any other creature. He made Adam the rightful sovereign over all the works of His hands. Man, made in the divine image, could contemplate and appreciate the glorious works of God in nature (Redemption; or the Temptation of Christ, p. 7). {1BC 1082.2}"
14,3,3,paragraph,Genesis,2,"15. Eden, Heaven in Miniature.--Adam had themes for contemplation in the works of God in Eden, which was heaven in miniature. God did not form man merely to contemplate His glorious works; therefore, He gave him hands for labor, as well as a mind and heart for contemplation. If the happiness of man consisted in doing nothing, the Creator would not have given Adam his appointed work. Man was to find happiness in labor, as well as in meditation (Ibid., 7, 8). {1BC 1082.3}"
15,3,3,paragraph,Genesis,2,"16, 17 (Gen. 1:26; Isa. 43:6, 7). To Re-populate Heaven After Test.--God created man for His own glory, that after test and trial the human family might become one with the heavenly family. It was God's purpose to re-populate heaven with the human family, if they would show themselves obedient to His every word. Adam was to be tested, to see whether he would be obedient, as the loyal angels, or disobedient. If he stood the test, his instruction to his children would have been only of loyalty. His mind and thoughts would have been as the mind and thoughts of God. He would have been taught by God as His husbandry and building. His character would have been moulded in accordance with the character of God (Letter 91, 1900). {1BC 1082.4}"
16,3,3,paragraph,Genesis,2,"17 (John 8:44; Gen. 3:4). Seeds of Death Satan's Work.--Christ never planted the seeds of death in the system. Satan planted these seeds when he tempted Adam to eat of the tree of knowledge which meant disobedience to God (MS 65, 1899) [published in F. D. Nichol, Ellen G. White and Her Critics]. {1BC 1082.5}"
17,3,4,paragraph,Genesis,2,"(Rev. 13:8). Death Penalty Not Enforced at Once.--Adam listened to the words of the tempter, and yielding to his insinuations, fell into sin. Why was not the death penalty at once enforced in his case?--Because a ransom was found. God's only begotten Son volunteered to take the sin of man upon Himself, and to make an atonement for the fallen race. There could have been no pardon for sin had this atonement not been made. Had God pardoned Adam's sin without an atonement, sin would have been immortalized, and would have been perpetuated with a boldness that would have been without restraint (RH April 23, 1901). {1BC 1082.6}"
18,4,4,chapter_heading,Genesis,3,Chapter 3
19,4,4,paragraph,Genesis,3,"1-6. A Succession of Falls.--If the race had ceased to fall when Adam was driven from Eden, we should now be in a far more elevated condition physically, mentally, and morally. But while men deplore the fall of Adam, which has resulted in such unutterable woe, they disobey the express injunctions of God, as did Adam, although they have his example to warn them from doing as he did in violating the law of Jehovah. Would that man had stopped falling with Adam. But there has been a succession of falls. Men will not take warning from Adam's experience. They will indulge appetite and passion in direct violation of the law of God, and at the same time continue to mourn Adam's transgression, which brought sin into the world. {1BC 1082.7}"
20,4,4,paragraph,Genesis,3,"From Adam's day to ours there has been a succession of falls, each greater than the last, in every species of crime. God did not create a race of beings so devoid of health, beauty, and moral power as now exists in the world. Disease of every kind has been fearfully increasing upon the race. This has not been by God's especial providence, but directly contrary to His will. It has come by man's disregard of the very means which God has ordained to shield him from the terrible evils existing (Ibid., March 4, 1875). {1BC 1082.8}"
21,4,4,paragraph,Genesis,3,"1. Satan Uses Instruments.--In Eden Satan used the serpent as his instrument. Today he makes use of the members of the human family, striving by means of every species of cunning and deception to hedge up the path of righteousness cast up for the ransomed of the Lord to walk in (Letter 91, 1900). {1BC 1083.1}"
22,4,4,paragraph,Genesis,3,"5. No Change in Satan's Propaganda.--God does not consult our opinions or preferences. He knows what human beings do not know,--the future results of every movement, and therefore our eyes should be directed to Him, and not to the worldly advantages presented by Satan. Satan tells us that if we give heed to him, we shall reach great heights of knowledge. Ye shall be as gods, he said to Eve, if you eat of the tree forbidden by God. The test given to Adam and Eve was very light, but they could not bear it. They disobeyed God, and this transgression opened the floodgates of woe on our world (MS 50, 1893). {1BC 1083.2}"
23,4,4,paragraph,Genesis,3,"6. Mildest Test Given.--With what intense interest the whole universe watched the conflict that was to decide the position of Adam and Eve. How attentively the angels listened to the words of Satan, the originator of sin, as he placed his own ideas above the commands of God, and sought to make of none effect the law of God through his deceptive reasoning! How anxiously they waited to see if the holy pair would be deluded by the tempter, and yield to his arts! They asked themselves, Will the holy pair transfer their faith and love from the Father and Son to Satan? Will they accept his falsehoods as truth? They knew that they might refrain from taking the fruit, and obey the positive injunction of God, or they might violate the express command of their Creator. {1BC 1083.3}"
24,4,5,paragraph,Genesis,3,"The mildest test was given them that could be given; for there was no need of their eating of the forbidden tree; everything that their wants required had been provided (BE July 24, 1899). {1BC 1083.4}"
25,5,5,paragraph,Genesis,3,"Gained Only a Knowledge of Sin and Its Results.--If Adam and Eve had never touched the forbidden tree, the Lord would have imparted to them knowledge,--knowledge upon which rested no curse of sin, knowledge that would have brought them everlasting joy. The only knowledge they gained by their disobedience was a knowledge of sin and its results (AUCR March 1, 1904). {1BC 1083.5}"
26,5,5,paragraph,Genesis,3,"Adam's Fall Inexplainable.--In what consisted the strength of the assault made upon Adam, which caused his fall? It was not indwelling sin; for God made Adam after His own character, pure and upright. There were no corrupt principles in the first Adam, no corrupt propensities or tendencies to evil. Adam was as faultless as the angels before God's throne. These things are inexplainable, but many things which now we cannot understand will be made plain when we shall see as we are seen, and know as we are known (Letter 191, 1899). {1BC 1083.6}"
27,5,5,paragraph,Genesis,3,"(Eccl. 1:13-18).--Age after age, the curiosity of men has led them to seek for the tree of knowledge; and often they think they are plucking fruit most essential, when, like Solomon's research, they find it altogether vanity and nothingness in comparison with that science of true holiness which will open to them the gates of the city of God. The human ambition has been seeking for that kind of knowledge that will bring to them glory and self-exaltation and supremacy. Thus Adam and Eve were worked upon by Satan until God's restraint was snapped asunder, and their education under the teacher of lies began in order that they might have the knowledge which God had refused them,--to know the consequence of transgression (MS 67, 1898). {1BC 1083.7}"
28,5,5,paragraph,Genesis,3,"Fall Broke Golden Chain of Obedience.--Adam yielded to temptation and as we have the matter of sin and its consequence laid so distinctly before us, we can read from cause to effect and see the greatness of the act is not that which constitutes sin; but the disobedience of God's expressed will, which is a virtual denial of God, refusing the laws of His government. . . . {1BC 1083.8}"
29,5,5,paragraph,Genesis,3,"The fall of our first parents broke the golden chain of implicit obedience of the human will to the divine. Obedience has no longer been deemed an absolute necessity. The human agents follow their own imaginations which the Lord said of the inhabitants of the old world was evil and that continually (MS 1, 1892). {1BC 1083.9}"
30,5,5,paragraph,Genesis,3,"Adam: Temptation Removed as Far as Possible.--The plan of salvation was so arranged that when Adam was tested, temptation was removed from him as far as possible. When Adam was tempted, he was not hungry (ST April 4, 1900). {1BC 1084.1}"
31,5,5,paragraph,Genesis,3,"Man a Free Agent.--God had power to hold Adam back from touching the forbidden fruit; but had He done this, Satan would have been sustained in his charge against God's arbitrary rule. Man would not have been a free moral agent, but a mere machine (RH June 4, 1901). {1BC 1084.2}"
32,5,5,paragraph,Genesis,3,"Every Inducement to Remain Loyal.--It certainly was not God's purpose that man should be sinful. He made Adam pure and noble, with no tendency to evil. He placed him in Eden, where he had every inducement to remain loyal and obedient. The law was placed around him as a safeguard. (Ibid.). {1BC 1084.3}"
33,5,6,paragraph,Genesis,3,"7. Fig Leaves Will Not Cover Sin.--Adam and Eve both ate of the fruit, and obtained a knowledge which, had they obeyed God, they would never have had,--an experience in disobedience and disloyalty to God,--the knowledge that they were naked. The garment of innocence, a covering from God, which surrounded them, departed; and they supplied the place of this heavenly garment by sewing together fig-leaves for aprons. {1BC 1084.4}"
34,6,6,paragraph,Genesis,3,"This is the covering that the transgressors of the law of God have used since the days of Adam and Eve's disobedience. They have sewed together fig-leaves to cover their nakedness, caused by transgression. The fig-leaves represent the arguments used to cover disobedience. When the Lord calls the attention of men and women to the truth, the making of fig-leaves into aprons will be begun, to hide the nakedness of the soul. But the nakedness of the sinner is not covered. All the arguments pieced together by all who have interested themselves in this flimsy work will come to naught (Ibid., Nov. 15, 1898). {1BC 1084.5}"
35,6,6,paragraph,Genesis,3,"10, 11. Drew on Robes of Ignorance.--Had Adam and Eve never disobeyed their Creator, had they remained in the path of perfect rectitude, they could have known and understood God. But when they listened to the voice of the tempter, and sinned against God, the light of the garments of heavenly innocence departed from them; and in parting with the garments of innocence, they drew about them the dark robes of ignorance of God. The clear and perfect light that had hitherto surrounded them had lightened everything they approached; but deprived of that heavenly light, the posterity of Adam could no longer trace the character of God in His created works (Ibid., March 17, 1904). {1BC 1084.6}"
36,6,6,paragraph,Genesis,3,"15. Adam Knew Original Law.--Adam and Eve at their creation had knowledge of the original law of God. It was imprinted upon their hearts, and they were acquainted with the claims of law upon them. When they transgressed the law of God, and fell from their state of happy innocence, and became sinners, the future of the fallen race was not relieved by a single ray of hope. God pitied them, and Christ devised the plan for their salvation by Himself bearing the guilt. When the curse was pronounced upon the earth and upon man, in connection with the curse was a promise that through Christ there was hope and pardon for the transgression of God's law. Although gloom and darkness hung, like the pall of death, over the future, yet in the promise of the Redeemer, the Star of hope lighted up the dark future. The gospel was first preached to Adam by Christ. Adam and Eve felt sincere sorrow and repentance for their guilt. They believed the precious promise of God, and were saved from utter ruin (RH April 29, 1875). {1BC 1084.7}"
37,6,6,paragraph,Genesis,3,"Christ the Immediate Surety.--As soon as there was sin, there was a Saviour. Christ knew that He would have to suffer, yet He became man's substitute. As soon as Adam sinned, the Son of God presented Himself as surety for the human race, with just as much power to avert the doom pronounced upon the guilty as when He died upon the cross of Calvary (Ibid., March 12, 1901). {1BC 1084.8}"
38,6,6,paragraph,Genesis,3,"Continent of Heaven.--Jesus became the world's Redeemer, rendering perfect obedience to every word that proceedeth out of the mouth of God. He redeemed Adam's disgraceful fall, uniting the earth, that had been divorced from God by sin, to the continent of heaven [OBVIOUSLY THE WORD ""CONTINENT"" IS HERE EMPLOYED IN A BROADER SENSE THAN IS COMMONLY UNDERSTOOD TODAY. IT IS IN KEEPING WITH USAGE NOW OBSOLETE, WHICH PERMITTED THE WORD ""CONTINENT"" TO APPLY TO ""THE 'SOLID GLOBE' OR ORB OF THE SUN OR MOON"" (SEE OXFORD ENGLISH DICTIONARY).--EDITOR. (BE Aug. 6, 1894). {1BC 1084.9}"
39,6,7,paragraph,Genesis,3,"Connected With Sphere of Glory.--Though earth was struck off from the continent of heaven [OBVIOUSLY THE WORD ""CONTINENT"" IS HERE EMPLOYED IN A BROADER SENSE THAN IS COMMONLY UNDERSTOOD TODAY. IT IS IN KEEPING WITH USAGE NOW OBSOLETE, WHICH PERMITTED THE WORD ""CONTINENT"" TO APPLY TO ""THE 'SOLID GLOBE' OR ORB OF THE SUN OR MOON"" (SEE OXFORD ENGLISH DICTIONARY). --EDITOR. and alienated from its communion, Jesus has connected it again with the sphere of glory (ST Nov. 24, 1887). {1BC 1085.1}"
40,7,7,paragraph,Genesis,3,"Instantaneous Substitution.--The instant man accepted the temptations of Satan, and did the very things God had said he should not do, Christ, the Son of God, stood between the living and the dead, saying, ""Let the punishment fall on Me. I will stand in man's place. He shall have another chance"" (Letter 22, Feb. 13, 1900). {1BC 1085.2}"
41,7,7,paragraph,Genesis,3,"Christ Placed Feet in Adam's Steps.--What love! What amazing condescension! The King of glory proposed to humble Himself to fallen humanity! He would place His feet in Adam's steps. He would take man's fallen nature, and engage to cope with the strong foe who triumphed over Adam. He would overcome Satan, and in thus doing He would open the way for the redemption from the disgrace of Adam's failure and fall, of all those who would believe on Him (Redemption; or the Temptation of Christ, p. 15). {1BC 1085.3}"
42,7,7,paragraph,Genesis,3,"16, 17. Execution of Sentence Withheld.--God forbears, for a time, the full execution of the sentence of death pronounced upon man. Satan flattered himself that he had forever broken the link between heaven and earth. But in this he was greatly mistaken and disappointed. The Father had given the world into the hands of His Son for Him to redeem from the curse and the disgrace of Adam's failure and fall (Ibid., 17). {1BC 1085.4}"
43,7,7,paragraph,Genesis,3,"17, 18. The Curse on All Creation.--All nature is confused; for God forbade the earth to carry out the purpose He had originally designed for it. Let there be no peace to the wicked, saith the Lord. The curse of God is upon all creation. Every year it makes itself more decidedly felt (MS 76a, 1901). {1BC 1085.5}"
44,7,7,paragraph,Genesis,3,"The first curse was pronounced upon the posterity of Adam and upon the earth, because of disobedience. The second curse came upon the ground after Cain slew his brother Abel. The third most dreadful curse from God, came upon the earth at the Flood (4SG 121). {1BC 1085.6}"
45,7,7,paragraph,Genesis,3,"The land has felt the curse, more and more heavily. Before the Flood, the first leaf which fell, and was discovered upon the ground, caused those who feared God great sorrow. They mourned over it as we mourn over the loss of a dead friend. In the decaying leaf they could see an evidence of the curse, and of the decay of nature (Ibid., 155). {1BC 1085.7}"
46,7,7,paragraph,Genesis,3,"(Rom. 8:22).--The sin of man has brought the sure result,--decay, deformity, and death. Today the whole world is tainted, corrupted, stricken with mortal disease. The earth groaneth under the continual transgression of the inhabitants thereof (Letter 22, Feb. 13, 1900). {1BC 1085.8}"
47,7,7,paragraph,Genesis,3,"The Lord's curse is upon the earth, upon man, upon beast, upon the fish in the sea, and as transgression becomes almost universal the curse will be permitted to become as broad and as deep as the transgression (Letter 59, 1898). {1BC 1085.9}"
48,7,8,paragraph,Genesis,3,"Tokens of God's Continued Love.--After the transgression of Adam, God might have destroyed every opening bud and blooming flower, or He might have taken away their fragrance, so grateful to the senses. In the earth seared and marred by the curse, in the briers, the thistles, the thorns, the tares, we may read the law of condemnation; but in the delicate color and perfume of the flowers, we may learn that God still loves us, that His mercy is not wholly withdrawn from the earth (RH Nov. 8, 1898). {1BC 1085.10}"
49,8,8,paragraph,Genesis,3,"17-19.--God said to Adam, and to all the descendants of Adam, In the sweat of thy face shalt thou eat bread; for from henceforth the earth must be worked under the drawback of transgression. Thorns and briars shall it produce (MS 84, 1897). {1BC 1085.11}"
50,8,8,paragraph,Genesis,3,"There is no place upon earth where the track of the serpent is not seen and his venomous sting felt. The whole earth is defiled under the inhabitants thereof. The curse is increasing as transgression increases (Letter 22, Feb. 13, 1900). {1BC 1086.1}"
51,8,8,paragraph,Genesis,3,"18. Amalgamation Brought Noxious Plants.--Not one noxious plant was placed in the Lord's great garden, but after Adam and Eve sinned, poisonous herbs sprang up. In the parable of the sower the question was asked the Master, ""Didst not thou sow good seed in thy field? how then hath it tares?"" The Master answered, ""An enemy hath done this."" All tares are sown by the evil one. Every noxious herb is of his sowing, and by his ingenious methods of amalgamation he has corrupted the earth with tares (MS 65, 1899) [published in F. D. Nichol, Ellen G. White and Her Critics]. {1BC 1086.2}"
52,8,8,paragraph,Genesis,3,"22-24 (Rev. 22:2, 14). Obedience Is Condition of Eating of Tree.-- Transgression of God's requirements excluded Adam from the Garden of Eden. A flaming sword was placed around the tree of life, lest man should put forth his hand and partake of it, immortalizing sin. Obedience to all the commandments of God was the condition of eating of the tree of life. Adam fell by disobedience, forfeiting by sin all right to use either the life-giving fruit of the tree in the midst of the Garden, or its leaves, which are for the healing of the nations. {1BC 1086.3}"
53,8,8,paragraph,Genesis,3,"Obedience through Jesus Christ gives to man perfection of character and a right to that tree of life. The conditions of again partaking of the fruit of the tree are plainly stated in the testimony of Jesus Christ to John: ""Blessed are they that do His commandments, that they may have right to the tree of life, and many enter in through the gates into the city"" (MS 72, 1901). {1BC 1086.4}"
54,8,8,paragraph,Genesis,3,"24 (Matt. 4:4; John 6:63). No Sword Before Our Tree of Life.--The Scriptures, ""It is written,"" is the gospel we are to preach. No flaming sword is placed before this tree of life. All who will may partake of it. There is no power that can prohibit any soul from taking of the fruit of this tree of life. All may eat and live forever (Letter 20, 1900). {1BC 1086.5}"
55,8,8,chapter_heading,Genesis,4,Chapter 4
56,8,9,paragraph,Genesis,4,"4. Offering Must Be Sprinkled With Blood.--In every offering to God we are to acknowledge the one great Gift; that alone can make our service acceptable to him. When Abel offered the firstling of the flock, he acknowledged God, not only as the Giver of his temporal blessings, but also as the Giver of the Saviour. Abel's gift was the very choicest he could bring; for it was the Lord's specified claim. But Cain brought only of the fruit of the ground, and his offering was not accepted by the Lord. It did not express faith in Christ. All our offerings must be sprinkled with the blood of the atonement. As the purchased possession of the Son of God, we are to give the Lord our own individual lives (RH Nov. 24, 1896). {1BC 1086.6}"
57,9,9,paragraph,Genesis,4,"(Gen. 2:17). Substitute Accepted for Time Being.--Fallen man, because of his guilt, could no longer come directly before God with his supplications; for his transgression of the divine law had placed an impassable barrier between the holy God and the transgressor. But a plan was devised that the sentence of death should rest upon a substitute. In the plan of redemption there must be the shedding of blood, for death must come in consequence of man's sin. The beasts for sacrificial offerings were to prefigure Christ. In the slain victim, man was to see the fulfillment for the time being of God's word, ""Ye shall surely die"" (Redemption; or the Temptation of Christ, p. 19). {1BC 1086.7}"
58,9,9,paragraph,Genesis,4,"6. God Marks Every Action.--The Lord saw the wrath of Cain, He saw the falling of his countenance. Thus is revealed how closely the Lord marks every action, all the intents and purposes, yes, even the expression of the countenance. This, though man may say nothing, expresses his refusal to do the way and will of God. . . . Well might the question be asked you of the Lord, when you cannot follow the impulse of your own rebellious heart, and are restrained from doing your own unrighteous, unsanctified will, ""Why art thou worth? and why is thy countenance fallen?"" Such exhibitions reveal that because they cannot do after Satan's arts and devices they are provoked, and can only manifest a spirit similar to that of Cain (MS 77, 1897). {1BC 1086.8}"
59,9,9,paragraph,Genesis,4,"8. Contention Must Come.--There could be no harmony between the two brothers, and contention must come. Abel could not concede to Cain without being guilty of disobedience to the special commands of God (Letter 16, 1897). {1BC 1086.9}"
60,9,9,paragraph,Genesis,4,"Cain Filled With Doubt and Madness.--Satan is the parent of unbelief, murmuring, and rebellion. He filled Cain with doubt and with madness against his innocent brother and against God, because his sacrifice was refused and Abel's accepted. And he slew his brother in his insane madness (RH March 3, 1874). {1BC 1087.1}"
61,9,9,paragraph,Genesis,4,"15. Mark of Cain.--God has given to every man his work; and if any one turns from the work that God has given him, to do the work of Satan, to defile his own body or lead another into sin, that man's work is cursed, and the brand of Cain is placed upon him. The ruin of his victim will cry unto God, as did the blood of Abel (Ibid., March 6, 1894). {1BC 1087.2}"
62,9,9,paragraph,Genesis,4,"Any man, be he minister or layman, who seeks to compel or control the reason of any other man, becomes an agent of Satan, to do his work, and in the sight of the heavenly universe he bears the mark of Cain (MS 29, 1911). {1BC 1087.3}"
63,9,9,paragraph,Genesis,4,"25. Seth More Noble in Stature Than Cain or Abel.--Seth was of more noble stature than Cain or Abel, and resembled Adam more than any of his other sons. The descendants of Seth had separated themselves from the wicked descendants of Cain. They cherished the knowledge of God's will, while the ungodly race of Cain had no respect for God and His sacred commandments (3SG 60). {1BC 1087.4}"
64,9,9,chapter_heading,Genesis,5,Chapter 5
65,9,10,paragraph,Genesis,5,"22-24. Enoch Saw God Only by Faith.--Did he [Enoch] see God by his side? Only by faith. He knew that the Lord was there, and he adhered steadfastly to the principles of truth. We, too, are to walk with God. When we do this, our faces will be lighted up by the brightness of His presence, and when we meet one another, we shall speak of His power, saying, Praise God. Good is the Lord, and good is the word of the Lord (MS 17, 1903). {1BC 1087.5}"
66,10,10,paragraph,Genesis,5,"Christ a Constant Companion.--We can have what Enoch had. We can have Christ as our constant companion. Enoch walked with God, and when assailed by the tempter, he could talk with God about it. He had no ""It is written"" as we have, but he had a knowledge of his heavenly Companion. He made God his Counsellor, and was closely bound up with Jesus. And Enoch was honored in this course. He was translated to heaven without seeing death. And those who will be translated at the close of time, will be those who commune with God on earth. Those who make manifest that their life is hid with Christ in God will ever be representing Him in all their life-practices. Selfishness will be cut out by the roots (MS 38, 1897). {1BC 1087.6}"
67,10,10,paragraph,Genesis,5,"Strove to Conform to Divine Likeness.--Let us realize the weakness of humanity, and see where man fails in his self-sufficiency. We shall then be filled with a desire to be just what God desires us to be,-- pure, noble, sanctified. We shall hunger and thirst after the righteousness of Christ. To be like God will be the one desire of the soul. {1BC 1087.7}"
68,10,10,paragraph,Genesis,5,"This is the desire that filled Enoch's heart. And we read that he walked with God. He studied the character of God to a purpose. He did not mark out his own course, or set up his own will, as if he thought himself fully qualified to manage matters. He strove to conform himself to the divine likeness (Letter 169, 1903). {1BC 1087.8}"
69,10,10,paragraph,Genesis,5,"How Enoch Walked With God.--While trusting in your heavenly Father for the help you need, He will not leave you. God has a heaven full of blessings that He wants to bestow on those who are earnestly seeking for that help which the Lord alone can give. It was in looking in faith to Jesus, in asking of Him, in believing that every word spoken would be verified, that Enoch walked with God. He kept close by the side of God, obeying His every word. . . . His was a wonderful life of oneness. Christ was his Companion. He was in intimate fellowship with God (MS 111, 1898). {1BC 1087.9}"
70,10,10,paragraph,Genesis,5,"Abode in Pure Atmosphere.--He [Enoch] did not make his abode with the wicked. He did not locate in Sodom, thinking to save Sodom. He placed himself and his family where the atmosphere would be as pure as possible. Then at times he went forth to the inhabitants of the world with his God-given message. Every visit he made to the world was painful to him. He saw and understood something of the leprosy of sin. After proclaiming his message, he always took back with him to his place of retirement some who had received the warning. Some of these became overcomers, and died before the Flood came. But some had lived so long in the corrupting influence of sin that they could not endure righteousness (MS 42, 1900). {1BC 1087.10}"
71,10,10,paragraph,Genesis,5,"24. No Moral Darkness So Dense.--Enoch walked with God, while of the world around him sacred history records, ""And God saw that the wickedness of man was great in the earth, and that every imagination of the thoughts of his heart was only evil continually."" Enoch's righteous life was in marked contrast with the wicked people around him. His piety, his purity, his unswerving integrity were the result of his walking with God, while the wickedness of the world was the result of their walking with the deceiver of mankind. There never has been and never will be an age when the moral darkness will be so dense as when Enoch lived a life of irreproachable righteousness (MS 43, 1900). {1BC 1088.1}"
72,11,11,paragraph,Genesis,5,"Enoch the First Prophet.--Enoch was the first prophet among mankind. He foretold by prophecy the second coming of Christ to our world, and his work at that time. His life was a specimen of Christian consistency. Holy lips alone should speak forth the words of God in denunciation and judgments. His prophecy is not found in the writings of the Old Testament. We may never find any books which relate to the works of Enoch, but Jude, a prophet of God, mentions the work of Enoch (Ibid.). {1BC 1088.2}"
73,11,11,chapter_heading,Genesis,6,Chapter 6
74,11,11,paragraph,Genesis,6,"2. Co-operation With God Avoids Cain-worship.--Had man co-operated with God, there would have been no Cain-worshipers. Abel's example of obedience would have been followed. Men might have worked out the will of God. They might have obeyed His law, and in obedience they would have found salvation. God and the heavenly universe would have helped them to retain the divine likeness. Longevity would have been preserved; and God would have delighted in the work of His hands (RH Dec. 27, 1898). {1BC 1088.3}"
75,11,11,paragraph,Genesis,6,"3 (1 Peter 3:18-21). God Preached Through Methuselah, Noah, and Others.--God granted them one hundred and twenty years of probation, and during that time preached to them through Methuselah, Noah, and many others of His servants. Had they listened to the testimony of these faithful witnesses, had they repented and returned to their loyalty, God would not have destroyed them (RH April 23, 1901). {1BC 1088.4}"
76,11,11,paragraph,Genesis,6,"Enoch Bore Testimony Unflinchingly.--Before the destruction of the antediluvian world, Enoch bore his testimony unflinchingly (RH Nov. 1, 1906). {1BC 1088.5}"
77,11,11,paragraph,Genesis,6,"Voices of Noah and Methuselah Heard.--God determined to purify the world by a flood; but in mercy and love He gave the antediluvians a probation of one hundred and twenty years. During this time, while the ark was building, the voices of Noah, Methuselah, and many others were heard in warning and entreaty, and every blow struck on the ark was a warning message (Ibid., Sept. 19, 1907). {1BC 1088.6}"
78,11,11,paragraph,Genesis,6,"Some Believed; Some Backslid.--For one hundred and twenty years Noah proclaimed the message of warning to the antediluvian world; but only a few repented. Some of the carpenters he employed in building the ark believed the message, but died before the Flood; others of Noah's converts backslid (MS 65, 1906). {1BC 1088.7}"
79,11,11,paragraph,Genesis,6,"Many of the believing ones kept the faith, and died triumphant (MS 35, 1906). {1BC 1088.8}"
80,11,11,paragraph,Genesis,6,"Enoch's Experience a Convincing Sermon.--[Jude 14, 15 quoted.] The sermon preached by Enoch, and his translation to heaven was a convincing argument to all living in Enoch's time. It was an argument that Methuselah and Noah could use with power to show that the righteous could be translated (MS 46, 1895). {1BC 1088.9}"
81,11,11,paragraph,Genesis,6,"Association With Unbelievers Caused Loss.--Those who believed when Noah began to build the ark, lost their faith through association with unbelievers who aroused all the old passion for amusement and display (RH Sept. 15, 1904). {1BC 1088.10}"
